,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,5Y,Longevity,Longevity in drafted franchise
Al Lucas,77417,1948,00,1610612738,BOS,26.0,2,0,0.0,0.5,1.5,0.333,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False,1,1
Jerry Lucas,77418,1963,00,1610612758,CIN,24.0,79,0,41.43037974683544,6.89873417721519,13.10126582278481,0.527,0.0,0.0,0,3.9240506329113924,5.037974683544304,0.779,0.0,0.0,17.40506329113924,2.5822784810126582,0.0,0.0,0.0,3.7974683544303796,17.72151898734177,True,11,7
John Lucas,77419,1976,00,1610612745,HOU,23.0,82,0,30.865853658536587,4.7317073170731705,9.926829268292684,0.477,0.0,0.0,0,1.646341463414634,2.0853658536585367,0.789,0.6707317073170732,2.0,2.6707317073170733,5.646341463414634,1.524390243902439,0.23170731707317074,0.0,2.1219512195121952,11.109756097560975,True,14,5
Kalin Lucas,203564,2014,00,1610612763,MEM,26.0,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False,2,1
Maurice Lucas,77420,1976,00,1610612757,POR,25.0,79,0,36.24050632911393,8.0,17.17721518987342,0.466,0.0,0.0,0,4.2405063291139244,5.544303797468355,0.765,3.430379746835443,7.949367088607595,11.379746835443038,2.8987341772151898,1.0506329113924051,0.7088607594936709,0.0,3.721518987341772,20.240506329113924,True,12,5
John Lucas III,101249,2005,00,1610612745,HOU,23.0,13,0,8.23076923076923,1.0769230769230769,2.769230769230769,0.389,0.15384615384615385,0.6923076923076923,0.222,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.9230769230769231,0.38461538461538464,0.0,0.5384615384615384,0.46153846153846156,2.3076923076923075,True,8,2
Ted Luckenbill,77421,1961,00,1610612744,PHW,22.0,67,0,5.91044776119403,0.6417910447761194,1.791044776119403,0.358,0.0,0.0,0,0.7313432835820896,1.1343283582089552,0.645,0.0,0.0,1.6417910447761195,0.40298507462686567,0.0,0.0,0.0,1.0,2.014925373134328,False,2,1
Tyronn Lue,1731,1998,00,1610612747,LAL,22.0,15,0,12.533333333333333,1.8666666666666667,4.333333333333333,0.431,0.4666666666666667,1.0666666666666667,0.438,0.8,1.4,0.571,0.13333333333333333,0.26666666666666666,0.4,1.6666666666666667,0.3333333333333333,0.0,0.7333333333333333,1.8666666666666667,5.0,True,11,3
Jim Luisi,77422,1953,00,1610610024,BAL,25.0,31,0,11.838709677419354,1.0,3.064516129032258,0.326,0.0,0.0,0,0.8709677419354839,1.3225806451612903,0.659,0.0,0.0,0.8064516129032258,1.1290322580645162,0.0,0.0,0.0,1.4516129032258065,2.870967741935484,False,1,1
Al Lujack,77423,1946,00,1610610036,WAS,25.0,5,0,0.0,0.2,1.6,0.125,0.0,0.0,0,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,False,1,1
Phil Lumpkin,77424,1974,00,1610612757,POR,23.0,48,0,16.5,1.7916666666666667,3.9583333333333335,0.453,0.0,0.0,0,0.625,0.8125,0.769,0.20833333333333334,1.0208333333333333,1.2291666666666667,3.6875,0.4166666666666667,0.0625,0.0,1.6666666666666667,4.208333333333333,False,2,1
Ray Lumpp,77425,1948,00,1610612752,NYK,25.0,24,0,0.0,4.875,12.958333333333334,0.376,0.0,0.0,0,3.75,4.666666666666667,0.804,0.0,0.0,0.0,1.4166666666666667,0.0,0.0,0.0,3.0833333333333335,13.5,True,5,4
Gabriel Lundberg,1630994,2021,00,1610612756,PHX,27.0,4,0,11.0,1.25,4.75,0.263,0.75,2.0,0.375,0.0,0.0,0.0,0.5,1.25,1.75,2.75,0.75,0.0,0.75,1.75,3.25,False,1,1
Seth Lundy,1641754,2023,00,1610612737,ATL,24.0,9,0,5.777777777777778,0.4444444444444444,1.8888888888888888,0.235,0.3333333333333333,1.4444444444444444,0.231,0.3333333333333333,0.4444444444444444,0.75,0.1111111111111111,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,1.5555555555555556,False,1,1
Timothe Luwawu-Cabarrot,1627789,2016,00,1610612755,PHI,22.0,69,19,17.246376811594203,2.101449275362319,5.231884057971015,0.402,0.7246376811594203,2.3333333333333335,0.311,1.5217391304347827,1.7826086956521738,0.854,0.36231884057971014,1.7971014492753623,2.1594202898550723,1.0869565217391304,0.463768115942029,0.14492753623188406,1.0579710144927537,2.2318840579710146,6.449275362318841,True,6,2
Tyler Lydon,1628399,2017,00,1610612743,DEN,22.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2,2
